Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2003061416,SBKG,141600Z,18008KT,8000,-RA,na,SCT010,BKN015,na,24/20,Q1016,NULL
2003061417,SBKG,141700Z,18010KT,9999,na,na,FEW010,BKN015,na,25/21,Q1015,NULL
2003061418,SBKG,141800Z,13012KT,8000,na,na,SCT010,BKN015,na,26/21,Q1015,NULL
2003061419,SBKG,141900Z,13010KT,9999,na,na,SCT010,BKN015,na,25/21,Q1015,NULL
2003061420,SBKG,142000Z,13006KT,9999,na,na,SCT010,BKN015,na,23/20,Q1015,NULL
2003061421,SBKG,142100Z,15006KT,5000,-RA,BR,BKN010,BKN015,na,22/21,Q1016,NULL
2003061422,SBKG,142200Z,14006KT,5000,BR,na,SCT007,BKN010,na,22/21,Q1016,NULL
2003061423,SBKG,142300Z,13006KT,9999,na,na,SCT010,BKN015,na,21/21,Q1017,NULL
2003061500,SBKG,150000Z,12006KT,9999,na,na,SCT010,BKN015,na,21/20,Q1017,NULL
2003061501,SBKG,150100Z,13006KT,3000,-RA,na,SCT007,BKN010,na,21/20,Q1017,NULL
2003061502,SBKG,150200Z,13006KT,5000,BR,na,SCT007,BKN010,na,21/20,Q1017,NULL
2003061503,SBKG,150300Z,16004KT,6000,na,na,BKN015,na,na,21/20,Q1016,NULL
2003061509,SBKG,150900Z,25004KT,5000,-DZ,BR,BKN010,BKN015,na,21/20,Q1016,NULL
2003061510,SBKG,151000Z,25004KT,1500,-RA,BR,BKN010,BKN015,OVC070,21/21,Q1017,NULL
